Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
51, 5, 1, 1:1, 3211278:262146, UNIT_SKIRMISHER, UNIT_BABYLONIAN_SABUM_KIBITTUM, 35, 17, 0, -4, 0, 69
51, 9, 4, 1:1, 9109537:3801100, UNIT_KNIGHT, UNIT_CROSSBOWMAN, 50, 30, 0, 13, 23, 39
51, 12, 17, 1:1, 720898:1048577, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 0, 6, 0, 27
51, 14, 7, 1:1, 458755:4522025, UNIT_CATAPULT, UNIT_SKIRMISHER, 35, 30, -17, 7, 0, 14
51, 14, 7, 3:1, 65536:4522025, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -2, 0, 11
51, 17, 12, 1:1, 1179652:458752, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 3, -3, 0, 43
51, 0, 5, 1:1, 2555904:4784155, UNIT_CROSSBOWMAN, UNIT_KNIGHT, 40, 50, 10, 0, 0, 30
51, 0, 5, 1:1, 2293777:4784155, UNIT_KNIGHT, UNIT_KNIGHT, 50, 50, 12, -3, 17, 54
51, 0, 5, 1:1, 262146:4784155, UNIT_VAMPIRE, UNIT_KNIGHT, 50, 50, 13, -8, 13, 69
51, 0, 5, 1:1, 2490381:5111855, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 10, 3, 0, 59
51, 0, 5, 1:1, 2621450:5111855, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 13, -3, 0, 82
51, 4, 9, 1:1, 3604485:9109537, UNIT_CROSSBOWMAN, UNIT_KNIGHT, 40, 50, 25, 4, 0, 46
51, 4, 9, 1:1, 3473421:9109537, UNIT_CROSSBOWMAN, UNIT_KNIGHT, 40, 50, 28, -1, 0, 63
52, 5, 0, 1:1, 4128805:1966095, UNIT_MAN_AT_ARMS, UNIT_KNIGHT, 46, 50, 2, 13, 53, 17
52, 5, 0, 3:1, 1048591:2490381, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 30, -4, 0, 0, 36
52, 9, 4, 1:1, 8847397:3538954, UNIT_MUSKETMAN, UNIT_CROSSBOWMAN, 55, 30, 4, 16, 18, 50
52, 12, 17, 1:1, 720898:1048577, UNIT_CROSSBOWMAN, UNIT_SWORDSMAN, 40, 36, 0, 4, 0, 29
52, 14, 7, 3:1, 65536:4522025, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 30, 0, 4, 0, 37
52, 0, 5, 1:1, 2555904:2555916, UNIT_CROSSBOWMAN, UNIT_MACEDONIAN_HETAIROI, 40, 36, 10, -2, 0, 56
