Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 8 spline, 14 tower
Free: 4 spline, 7 tower
Update: 16 spline, 30 tower
Free: 8 spline, 15 tower
Update: 16 spline, 30 tower
Free: 8 spline, 15 tower
Update: 4 spline, 19 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 10 spline, 52 tower
Free: 5 spline, 26 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 12 spline, 18 tower
Free: 6 spline, 9 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 23 spline, 53 tower
Update: 39 spline, 89 tower
Free: 21 spline, 45 tower
Update: 39 spline, 89 tower
Free: 18 spline, 44 tower
Update: 40 spline, 102 tower
Free: 20 spline, 51 tower
Update: 34 spline, 70 tower
Free: 17 spline, 35 tower
Update: 28 spline, 68 tower
Free: 14 spline, 34 tower
Update: 30 spline, 69 tower
Free: 14 spline, 34 tower
Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 3 spline, 7 tower
Free: 1 spline, 2 tower
Update: 6 spline, 20 tower
Update: 14 spline, 37 tower
Free: 7 spline, 21 tower
Update: 15 spline, 31 tower
Free: 6 spline, 15 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 9 spline, 26 tower
Update: 11 spline, 38 tower
Free: 5 spline, 19 tower
Update: 20 spline, 52 tower
Free: 10 spline, 26 tower
Update: 4 spline, 19 tower
Free: 2 spline, 9 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 29 spline, 69 tower
Free: 16 spline, 35 tower
Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 41 spline, 100 tower
Free: 22 spline, 50 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 12 spline, 32 tower
Free: 6 spline, 16 tower
Update: 39 spline, 98 tower
Free: 20 spline, 49 tower
Update: 2 spline, 13 tower
Free: 1 spline, 7 tower
Update: 2 spline, 12 tower
Free: 1 spline, 6 tower
Update: 9 spline, 43 tower
Free: 3 spline, 16 tower
Update: 2 spline, 12 tower
Free: 1 spline, 6 tower
Update: 4 spline, 19 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 1 spline, 3 tower
Update: 4 spline, 8 tower
Free: 2 spline, 4 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 26 spline, 68 tower
Free: 13 spline, 34 tower
Update: 26 spline, 68 tower
Free: 13 spline, 34 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 8 spline, 20 tower
Free: 4 spline, 10 tower
Update: 12 spline, 32 tower
Free: 6 spline, 16 tower
Update: 30 spline, 78 tower
Free: 15 spline, 39 tower
Update: 8 spline, 16 tower
Free: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
