Game Turn, Mode, Player, Unit, Operation
Unit operation handler f4921fdc, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
040, Adding, 9, UNIT_CROSSBOWMAN (6815774), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 9, UNIT_CROSSBOWMAN (6815774), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 9, UNIT_CROSSBOWMAN (6815774), UNITOPERATION_MOVE_TO (19)
040, Adding, 9, UNIT_CROSSBOWMAN (4653096), UNITOPERATION_RANGE_ATTACK (26)
040, Adding, 9, UNIT_CROSSBOWMAN (6160431), UNITOPERATION_RANGE_ATTACK (26)
040, Adding, 9, UNIT_CROSSBOWMAN (4653096), UNITOPERATION_MOVE_TO (19)
040, Adding, 9, UNIT_CROSSBOWMAN (6160431), UNITOPERATION_MOVE_TO (19)
040, Adding, 9, UNIT_SETTLER (3997697), UNITOPERATION_MOVE_TO (19)
040, Adding, 9, UNIT_CROSSBOWMAN (5242890), UNITOPERATION_MOVE_TO (19)
040, Adding, 9, UNIT_MAN_AT_ARMS (6291505), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 9, UNIT_MAN_AT_ARMS (6291505), UNITOPERATION_SWAP_UNITS (49)
