Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
43, LOC_CITY_NAME_FORTALEZA, 83.4, UNIT_CROSSBOWMAN, 83.4, 90, 0.0
43, LOC_CITY_NAME_CURITIBA, 39.0, UNIT_CROSSBOWMAN, 113.0, 90, 33.0
43, LOC_CITY_NAME_SALVADOR, 36.5, UNIT_CROSSBOWMAN, 36.5, 90, 0.0
43, LOC_CITY_NAME_JERUSALEM, 34.0, BUILDING_MONUMENT, 56.0, 30, 9.0
43, LOC_CITY_NAME_PORTO_ALEGRE, 27.2, BUILDING_WALLS, 27.2, 50, 0.0
43, LOC_CITY_NAME_FORTALEZA, 26.3, UNIT_CROSSBOWMAN, 109.7, 90, 26.4
43, LOC_CITY_NAME_AACHEN, 159.1, UNIT_BUILDER, 159.1, 55, 33.5
43, LOC_CITY_NAME_MAGDEBURG, 48.9, BUILDING_AMPHITHEATER, 97.9, 60, 37.9
43, LOC_CITY_NAME_COLOGNE, 42.5, PROJECT_ENHANCE_DISTRICT_THEATER, 42.5, 59, 0.0
43, LOC_CITY_NAME_DORTMUND, 69.9, UNIT_CROSSBOWMAN, 69.9, 90, 0.0
43, LOC_CITY_NAME_HEIDELBERG, 40.3, BUILDING_WATER_MILL, 40.3, 40, 0.0
43, LOC_CITY_HA_NOI, 90.3, UNIT_SETTLER, 90.3, 115, 0.0
43, LOC_CITY_HUE, 138.3, UNIT_BUILDER, 138.3, 65, 18.9
43, LOC_CITY_QUANG_TRI, 92.8, BUILDING_WORKSHOP, 92.8, 80, 0.0
43, LOC_CITY_HOI_AN, 61.3, UNIT_VIETNAMESE_VOI_CHIEN, 61.3, 100, 0.0
43, LOC_CITY_HOA_LU, 48.9, BUILDING_WATER_MILL, 82.9, 40, 42.9
43, LOC_CITY_DONG_HOI, 75.5, DISTRICT_HOLY_SITE, 75.5, 92, 0.0
43, LOC_CITY_HUE, 42.9, UNIT_VIETNAMESE_VOI_CHIEN, 42.9, 100, 0.0
43, LOC_CITY_NAME_ROME, 37.5, PROJECT_ENHANCE_DISTRICT_CAMPUS, 87.4, 63, 81.0
43, LOC_CITY_NAME_ARRETIUM, 32.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 64.6, 63, 50.3
