Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
1, 7, 9, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
1, 7,  9, 对您的第一印象, Deactivate
1, 7, 9, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 9, 7, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 9,  7, 对您的第一印象, Deactivate
1, 9, 7, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 8, 9, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 8,  9, 对您的第一印象, Deactivate
1, 8, 9, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 9, 8, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
1, 9,  8, 对您的第一印象, Deactivate
1, 9, 8, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 5, 6, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 5, 7, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 5, 8, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 5, 9, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 6, 5, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 6, 7, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 6, 8, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 6, 9, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 7, 5, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 7, 6, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 7, 8, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 7, 9, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 8, 5, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 8, 6, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 8, 7, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 8, 9, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 9, 5, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 9, 6, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 9, 7, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 9, 8, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 4, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 4, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 4, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 3, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 3, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
