Game Turn, Player, Action, , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 62, 63
2, 63, Threat and Trust,, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00, 0.00:1:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 0, ,,, 18:DIPLO_STATE_ALLIED, 17:DIPLO_STATE_ALLIED, 17:DIPLO_STATE_ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
2, 0, Threat and Trust,,, 60.16:1:0.00, 60.16:1:0.00, 60.16:1:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:5:0.00, 0.00:5:0.00
2, 1, ,, 14:DIPLO_STATE_ALLIED,, 14:DIPLO_STATE_ALLIED, 15:DIPLO_STATE_ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
2, 1, Threat and Trust,, 60.16:1:0.00,, 60.16:1:0.00, 60.16:1:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:5:0.00, 0.00:5:0.00
2, 2, ,, 13:DIPLO_STATE_ALLIED, 19:DIPLO_STATE_ALLIED,, 15:DIPLO_STATE_ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
2, 2, Threat and Trust,, 60.16:1:0.00, 60.16:1:0.00,, 60.16:1:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:5:0.00, 0.00:5:0.00
2, 3, ,, 19:DIPLO_STATE_ALLIED, 18:DIPLO_STATE_ALLIED, 15:DIPLO_STATE_ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
2, 3, Threat and Trust,, 60.16:1:0.00, 60.16:1:0.00, 60.16:1:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:5:0.00, 0.00:5:0.00
3, 4, ,,,,,,, 15:DIPLO_STATE_ALLIED, 19:DIPLO_STATE_ALLIED, 14:DIPLO_STATE_ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
