Game Turn, Player, Action, Tech, Score, Boost, Turns
1, 3, Tech, TECH_WRITING, 96.5, BOOSTED, 37
1, 3, Tech, TECH_MASONRY, -14908.1, , 52
1, 3, Tech, TECH_BRONZE_WORKING, -9938.8, , 52
1, 3, Tech, TECH_THE_WHEEL, -9938.8, , 52
1, 3, Tech, TECH_CELESTIAL_NAVIGATION, -9966.7, , 103
1, 3, Tech, TECH_CURRENCY, -14853.7, , 115
1, 3, Tech, TECH_HORSEBACK_RIDING, -9927.3, , 115
1, 3, Tech, TECH_IRON_WORKING, -9938.8, , 130
1, 3, Tech, TECH_SHIPBUILDING, -9966.7, , 155
1, 3, Tech, TECH_ENGINEERING, -9938.8, , 182
2, 4, Tech, TECH_POTTERY, 113.0, RESEARCHING, 4
2, 4, Tech, TECH_ANIMAL_HUSBANDRY, 82.6, , 5
2, 4, Tech, TECH_MINING, 82.6, , 5
2, 4, Tech, TECH_SAILING, 78.3, , 10
2, 4, Tech, TECH_ASTROLOGY, 216.5, BOOSTED, 7
2, 4, Tech, TECH_IRRIGATION, 176.9, , 14
2, 4, Tech, TECH_ARCHERY, 154.9, BOOSTED, 12
2, 4, Tech, TECH_WRITING, 344.1, GOAL, 11
2, 4, Tech, TECH_MASONRY, 127.4, , 21
2, 4, Tech, TECH_BRONZE_WORKING, 211.8, , 21
2, 4, Tech, TECH_THE_WHEEL, 137.4, BOOSTED, 15
2, 4, Tech, TECH_CELESTIAL_NAVIGATION, 97.1, , 42
2, 4, Tech, TECH_CURRENCY, 357.0, , 43
2, 4, Tech, TECH_HORSEBACK_RIDING, 158.6, , 44
2, 4, Tech, TECH_IRON_WORKING, -9857.8, , 53
2, 4, Tech, TECH_SHIPBUILDING, -9920.7, , 62
2, 4, Tech, TECH_ENGINEERING, -9861.6, , 67
2, 5, Tech, TECH_POTTERY, 169.6, RESEARCHING, 4
2, 5, Tech, TECH_ANIMAL_HUSBANDRY, 124.0, , 5
2, 5, Tech, TECH_MINING, 82.6, , 5
2, 5, Tech, TECH_SAILING, 78.3, , 10
2, 5, Tech, TECH_ASTROLOGY, 144.3, BOOSTED, 7
2, 5, Tech, TECH_IRRIGATION, 176.9, , 14
2, 5, Tech, TECH_ARCHERY, 154.9, BOOSTED, 12
2, 5, Tech, TECH_WRITING, 229.4, BOOSTED, 11
2, 5, Tech, TECH_MASONRY, 147.3, BOOSTED, 15
2, 5, Tech, TECH_BRONZE_WORKING, 141.2, , 21
2, 5, Tech, TECH_THE_WHEEL, 120.5, , 21
2, 5, Tech, TECH_CELESTIAL_NAVIGATION, 97.1, , 42
2, 5, Tech, TECH_CURRENCY, 357.0, , 43
2, 5, Tech, TECH_HORSEBACK_RIDING, 158.6, , 44
2, 5, Tech, TECH_IRON_WORKING, -9857.8, , 53
2, 5, Tech, TECH_SHIPBUILDING, -9920.7, , 62
2, 5, Tech, TECH_ENGINEERING, -9878.5, , 73
2, 6, Tech, TECH_POTTERY, 113.0, RESEARCHING, 4
2, 6, Tech, TECH_ANIMAL_HUSBANDRY, 82.6, , 5
2, 6, Tech, TECH_MINING, 82.6, , 5
2, 6, Tech, TECH_SAILING, 78.3, , 10
2, 6, Tech, TECH_ASTROLOGY, 144.3, BOOSTED, 7
2, 6, Tech, TECH_IRRIGATION, 186.5, BOOSTED, 11
2, 6, Tech, TECH_ARCHERY, 142.3, , 15
2, 6, Tech, TECH_WRITING, 229.4, GOAL, 11
2, 6, Tech, TECH_MASONRY, 147.3, BOOSTED, 15
2, 6, Tech, TECH_BRONZE_WORKING, 141.2, , 21
2, 6, Tech, TECH_THE_WHEEL, 120.5, , 21
2, 6, Tech, TECH_CELESTIAL_NAVIGATION, 97.1, , 42
2, 6, Tech, TECH_CURRENCY, 357.0, , 43
2, 6, Tech, TECH_HORSEBACK_RIDING, 145.6, , 47
2, 6, Tech, TECH_IRON_WORKING, -9857.8, , 53
2, 6, Tech, TECH_SHIPBUILDING, -9920.7, , 62
2, 6, Tech, TECH_ENGINEERING, -9878.5, , 73
2, 7, Tech, TECH_POTTERY, 118.9, RESEARCHING, 3
2, 7, Tech, TECH_ANIMAL_HUSBANDRY, 86.9, , 4
2, 7, Tech, TECH_MINING, 86.9, , 4
2, 7, Tech, TECH_SAILING, 84.7, , 8
2, 7, Tech, TECH_ASTROLOGY, 134.1, , 8
2, 7, Tech, TECH_IRRIGATION, 192.4, , 11
2, 7, Tech, TECH_ARCHERY, 169.0, BOOSTED, 9
2, 7, Tech, TECH_WRITING, 253.0, GOAL, 8
2, 7, Tech, TECH_MASONRY, 165.3, BOOSTED, 12
2, 7, Tech, TECH_BRONZE_WORKING, 189.4, BOOSTED, 12
2, 7, Tech, TECH_THE_WHEEL, 137.7, , 16
2, 7, Tech, TECH_CELESTIAL_NAVIGATION, 139.2, , 31
2, 7, Tech, TECH_CURRENCY, 424.4, , 31
2, 7, Tech, TECH_HORSEBACK_RIDING, 187.1, , 32
2, 7, Tech, TECH_IRON_WORKING, 225.8, , 35
2, 7, Tech, TECH_SHIPBUILDING, 91.4, , 46
2, 7, Tech, TECH_ENGINEERING, -9861.3, , 54
2, 8, Tech, TECH_POTTERY, 113.0, RESEARCHING, 4
2, 8, Tech, TECH_ANIMAL_HUSBANDRY, 82.6, , 5
2, 8, Tech, TECH_MINING, 82.6, , 5
2, 8, Tech, TECH_SAILING, 91.1, BOOSTED, 7
2, 8, Tech, TECH_ASTROLOGY, 124.0, , 10
2, 8, Tech, TECH_IRRIGATION, 176.9, , 14
2, 8, Tech, TECH_ARCHERY, 142.3, , 15
2, 8, Tech, TECH_WRITING, 214.1, GOAL, 14
2, 8, Tech, TECH_MASONRY, 127.4, , 21
2, 8, Tech, TECH_BRONZE_WORKING, 141.2, , 21
2, 8, Tech, TECH_THE_WHEEL, 120.5, , 21
2, 8, Tech, TECH_CELESTIAL_NAVIGATION, 116.9, , 39
2, 8, Tech, TECH_CURRENCY, 219.3, , 46
2, 8, Tech, TECH_HORSEBACK_RIDING, 145.6, , 47
2, 8, Tech, TECH_IRON_WORKING, -9857.8, , 53
2, 8, Tech, TECH_SHIPBUILDING, -9907.9, , 59
2, 8, Tech, TECH_ENGINEERING, -9878.5, , 73
2, 9, Tech, TECH_POTTERY, 118.9, RESEARCHING, 3
2, 9, Tech, TECH_ANIMAL_HUSBANDRY, 86.9, , 4
2, 9, Tech, TECH_MINING, 86.9, , 4
2, 9, Tech, TECH_SAILING, 99.2, BOOSTED, 5
2, 9, Tech, TECH_ASTROLOGY, 134.1, , 8
2, 9, Tech, TECH_IRRIGATION, 192.4, , 11
2, 9, Tech, TECH_ARCHERY, 159.2, , 12
2, 9, Tech, TECH_WRITING, 235.3, GOAL, 11
2, 9, Tech, TECH_MASONRY, 146.9, , 16
2, 9, Tech, TECH_BRONZE_WORKING, 165.3, , 16
2, 9, Tech, TECH_THE_WHEEL, 137.7, , 16
2, 9, Tech, TECH_CELESTIAL_NAVIGATION, 169.9, , 28
2, 9, Tech, TECH_CURRENCY, 261.1, , 34
2, 9, Tech, TECH_HORSEBACK_RIDING, 174.3, , 35
2, 9, Tech, TECH_IRON_WORKING, 215.3, , 39
2, 9, Tech, TECH_SHIPBUILDING, 110.3, , 43
2, 9, Tech, TECH_ENGINEERING, -9861.3, , 54
2, 10, Tech, TECH_POTTERY, 113.0, RESEARCHING, 4
2, 10, Tech, TECH_ANIMAL_HUSBANDRY, 82.6, , 5
2, 10, Tech, TECH_MINING, 82.6, , 5
2, 10, Tech, TECH_SAILING, 91.1, BOOSTED, 7
2, 10, Tech, TECH_ASTROLOGY, 124.0, , 10
