Game Turn, From, To, Initiator, Type, SubType, Message
11, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
11, 5, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Already has open session!
11, 6, 4, -1, FIRST_MEET_NO_MANS, NONE, 00000000, Requesting Session (B)
11, 6, 4, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Adding to pending
11, 6, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
11, 6, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Already has open session!
11, 7, 4, -1, FIRST_MEET_NO_MANS, NONE, 00000000, Requesting Session (B)
11, 7, 4, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Adding to pending
11, 7, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
11, 7, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Already has open session!
11, 8, 4, -1, FIRST_MEET_NO_MANS, NONE, 00000000, Requesting Session (B)
11, 8, 4, 8, FIRST_MEET_NO_MANS, NONE, INITIAL, Adding to pending
11, 8, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
11, 8, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Already has open session!
11, 9, 0, -1, FIRST_MEET_NEAR_RECIPIENT, NONE, 00000000, Requesting Session (B)
11, 9, 0, 9, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Adding to pending
11, 9, 0, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
11, 9, 0, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Already has open session!
11, 9, 1, -1, FIRST_MEET_NEAR_RECIPIENT, NONE, 00000000, Requesting Session (B)
11, 9, 1, 9, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Adding to pending
11, 9, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
11, 9, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Already has open session!
11, 9, 2, -1, FIRST_MEET_NEAR_RECIPIENT, NONE, 00000000, Requesting Session (B)
11, 9, 2, 9, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Adding to pending
11, 9, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
11, 9, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Already has open session!
11, 9, 3, -1, FIRST_MEET_NEAR_RECIPIENT, NONE, 00000000, Requesting Session (B)
11, 9, 3, 9, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Adding to pending
11, 9, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
11, 9, 3, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Already has open session!
11, 5, 4, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
11, 5, 4, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Not for local adding to notification
11, 5, 4, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Notification sent; closing session
11, 6, 4, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
11, 6, 4, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Not for local adding to notification
11, 6, 4, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Notification sent; closing session
11, 7, 4, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
11, 7, 4, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Not for local adding to notification
11, 7, 4, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Notification sent; closing session
11, 8, 4, 8, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
